verb,x,y
probe,14.768038,-74.45220672
shelter,-1.066009388,-73.11403542
pool,-6.257207685,-70.93875871
space,9.131405003,-70.12614466
hatch,-7.469009152,-73.29988741
floor,-6.705181324,-71.50731127
ground,-6.892764588,-71.81909506
resort,-2.361437073,-76.12141784
rail,11.41629905,-79.54479701
room,-6.609406981,-69.8574765
retreat,-2.332325986,-76.16656715
craft,14.83718369,-72.05506288
lobby,-10.32495251,-73.67446766
house,-6.4414818,-66.50643884
drill,-9.443027417,-70.33218956
train,13.77409942,-80.27933661
cascade,0.47498773,-90.86570264
farm,-4.065207583,-69.19074483
commute,19.99354166,-86.1787956
shop,-6.586315454,-64.84785312
store,-6.630735475,-64.75843071
tangle,0.272798588,-91.90363541
mine,-4.598637213,-67.14327526
toy,-7.900607593,-63.73885467
vacation,21.72390167,-86.97191276
slope,4.634292725,-87.16505242
trip,22.33108362,-87.27660764
tour,23.26516938,-86.44744277
journey,22.14659125,-88.4291887
visit,22.87454202,-88.03716651
steep,8.543942645,-87.49520407
treasure,-18.83563053,-79.15343705
molest,-23.50444021,70.61597921
handcuff,-23.87651523,68.41987571
invade,-21.13701236,58.82056315
infiltrate,-22.36815515,57.32976721
ransack,-26.3854994,72.47754831
loot,-24.90609383,71.52981077
plunder,-24.17571029,71.29802382
terrorize,-22.95361626,71.08497018
hijack,-22.71111223,56.79441487
interrogate,-24.49923992,68.67843349
apprehend,-25.30191179,69.90841838
prosecute,-26.80852899,69.29899906
retake,-17.03514897,54.01722564
punish,-28.77064194,68.2328505
seize,-16.85606516,54.00323407
perpetrate,-16.18366355,77.92272895
reroute,-24.46439166,51.98674092
conspire,-16.10123542,78.52001651
investigate,-27.13431814,70.45093376
oppress,-12.63655681,75.70651942
repress,-12.51799378,75.70590824
mistreat,-17.05307378,77.37647275
ostracize,-17.11317962,77.33902386
monopolize,-16.1428017,53.66769749
harass,-21.56667359,73.37153817
capitalize,-18.75910496,40.04495817
refer,29.12815444,53.93081965
include,29.63121791,46.87510766
consist,24.96688114,49.50607721
characterize,30.5783149,53.75918348
describe,30.63299862,53.70694159
represent,30.34959344,42.43272814
vary,23.27249977,50.27850203
comprise,31.20173669,45.80085269
fluctuate,23.04540212,50.40392451
cite,29.18792487,39.15121134
outnumber,30.95768865,40.71187783
have,30.4944582,39.18326594
portray,33.21421986,54.65227523
inherit,30.29386971,38.74326517
accumulate,31.55365058,38.40172371
differ,17.79594011,51.60178156
depend,16.35707108,52.33861503
disagree,18.07658607,51.43356276
rely,15.8067159,52.57711863
depict,34.23033199,54.88009023
perceive,22.71780838,61.55998966
derive,9.212393412,40.22495351
regard,22.7968107,62.02888477
dictate,21.04676646,36.78643373
advocate,21.0524831,62.43729761
attest,10.15233966,39.23644964
confer,8.735246653,40.04589467
demonstrate,22.08609694,37.12804399
manifest,23.36663562,62.61066249
govern,7.946012725,40.44600417
bestow,9.36119687,36.55292277
deem,24.65751102,63.12853308
recognize,20.49074229,36.74951499
subscribe,5.543558501,55.01489772
vie,5.373217511,40.60083443
understand,19.87796893,36.8745537
appreciate,18.60841168,37.07673191
admire,17.77662024,37.00495295
learn,19.68103341,27.16137012
teach,19.68434986,27.14374451
outweigh,16.87576497,67.81837463
attribute,16.1088507,69.41880061
ascribe,16.0395883,69.52571165
scrutinize,35.84679746,25.37260083
examine,36.06155247,26.03384135
declassify,40.16664354,25.28032693
evaluate,36.1646971,27.09937007
compile,38.92971122,26.35833365
assess,36.07363282,27.26809237
analyze,37.67430879,27.73758687
determine,34.75190117,25.52660939
tabulate,41.45881384,24.52048953
ascertain,34.7758841,25.91554157
scan,38.97799265,18.10786572
gauge,36.07241292,28.43751557
appraise,36.40988065,27.97348976
digest,38.13256992,29.03294992
quantify,35.67267641,28.40479581
decode,42.60706668,22.64005612
calculate,36.05961494,29.15003209
compute,36.25298366,29.82431303
encode,42.87770222,23.22306085
confirm,37.91189464,15.28305499
discuss,40.12204127,20.49051276
verify,37.12101541,15.16008708
specify,40.39221155,26.80383685
download,47.5183592,18.19468157
digitize,42.69147485,24.50817281
browse,47.69431453,18.04285888
certify,36.38200046,14.9714545
comment,39.95844462,18.98104934
configure,42.85758754,24.65355582
disclose,41.28755939,26.41409119
divulge,41.48274108,26.42285883
dissect,37.87223062,30.86453136
edit,39.12538883,30.04827108
synchronize,44.00890713,23.58790397
reveal,42.22780649,26.64629003
inquire,39.86821033,19.14445594
deconstruct,37.88430877,31.43169588
exclude,39.17170853,6.18374
pinpoint,25.9621077,16.58800351
deny,39.15559473,5.934907401
detect,25.57775119,16.16507195
memorize,59.13927786,23.91574032
juggle,59.2476557,24.32164476
claim,39.07190078,4.322263432
diagnose,24.76194527,15.20941416
intercept,25.55325587,17.0388312
encompass,58.19418342,28.9983944
populate,58.11641435,29.33065577
trust,38.88096042,2.899786604
retrieve,24.22065495,15.20812303
locate,23.90503081,14.97015787
improvise,62.48183687,21.10588939
identify,23.16785219,14.35578242
notify,35.99812197,15.72642104
inspect,25.49409176,15.35299714
treat,22.63763892,12.94200362
repair,25.60201709,15.2990856
rehearse,63.58527436,20.44029113
remedy,22.06652251,11.48364672
consult,37.48165072,18.25849181
choreograph,64.05607341,20.25587342
inform,35.77475367,16.35199369
advise,36.83871383,17.6733915
instruct,36.23434989,16.94569574
compose,64.7885788,20.18275711
educate,34.54169834,15.69497489
cram,62.71033189,20.90227199
retell,66.08744958,20.0127692
prescribe,20.76810095,9.671259058
dispense,20.68316095,9.56334656
write,65.69297061,20.96188897
read,65.74330107,21.1287555
misspell,66.1997096,22.75431199
rearrange,48.04903804,26.32454808
customize,48.39035052,26.16729636
tailor,49.10387634,25.85018905
quote,67.37411064,19.66386997
paraphrase,67.64723766,19.44583839
ingest,65.09938083,7.851339091
inhale,65.10018411,7.850304873
curry,-69.84462348,-58.10208898
salt,-68.03053728,-59.64960997
pepper,-68.26942844,-59.86038534
mint,-70.92173744,-61.35891248
tender,-71.07778469,-62.73504774
duck,-67.86854386,-64.02075942
toast,-69.78197391,-65.05734021
whisk,-71.05254126,-52.51914193
rack,-68.62097444,-64.26232174
flounder,-73.62775544,-54.91863608
grate,-66.90149006,-64.20353546
sandwich,-66.95090948,-66.57990489
stir,-71.59061762,-49.88391389
refrigerate,-75.09046216,-52.47432287
pan,-73.96733872,-52.47964932
glaze,-73.41468728,-52.536565
milk,-65.23642472,-64.41906981
paste,-73.09510889,-52.14784426
simmer,-74.01499801,-49.52752419
fish,-64.27502589,-65.46505484
whale,-63.62295301,-66.09380031
feast,-61.26117006,-74.10358414
brood,-61.22423727,-74.1095645
cough,-42.58872875,-69.91886445
smell,-41.13736781,-68.16697993
smoke,-41.30619792,-68.05763857
incense,-41.93713859,-66.87929803
vomit,-46.57727242,-72.48968119
dope,-46.85690533,-72.70215389
spray,-40.0193241,-65.44436031
urinate,-46.35912918,-72.35684846
sweat,-36.30928449,-66.64447604
dust,-35.84059439,-66.15418224
shear,-31.88740088,-70.27402246
wind,-31.17489817,-70.29322777
weather,-30.55107974,-71.89666413
rain,-30.38116647,-70.60460633
snow,-29.88280213,-69.93205974
bug,-51.78703246,-76.77105494
rat,-51.77815301,-76.98970837
ice,-29.40388201,-69.41450101
dog,-51.84538304,-78.15324119
trap,-53.19628867,-75.46596112
litter,-35.19321872,-62.80626003
water,-28.6758515,-68.67078497
vet,-52.00069694,-79.83751532
shepherd,-51.9500574,-80.12162614
trash,-35.11754475,-62.16428981
bait,-54.29542991,-75.0661567
dump,-35.73543387,-61.89068301
steam,-28.32044822,-66.96882203
waste,-34.65620543,-61.5447221
groom,-51.85321788,-81.35025359
prey,-54.59095734,-74.95595972
hawk,-55.57026426,-74.60593775
surf,-24.42667654,-75.82493475
flock,-58.2210486,-73.41521277
console,-39.18464057,-85.19700727
spike,-30.91759226,-36.21447454
collapse,-32.59994625,-33.35030058
boom,-29.94199783,-37.64928565
slump,-30.83528314,-38.38942762
dwindle,-38.80307386,-30.30871845
rebound,-30.3726336,-34.55100057
stagnate,-39.94185556,-29.04337218
cycle,-27.19117979,-38.37125414
sag,-33.36240365,-40.5246867
freak,-26.1944965,-32.68449856
harvest,-55.65173659,-45.69885685
crop,-55.64854931,-45.70026305
plague,-51.13672731,7.854142392
spawn,-47.16916137,12.36437588
breed,-47.16062191,12.40156374
trickle,-47.94112261,4.723898248
shed,-48.52609109,5.614579641
root,-48.03291277,4.146709207
zoom,-56.29485198,1.129451612
weed,-47.04332746,2.76995746
peer,-45.89857044,1.678168325
float,-64.59254725,10.63627741
hover,-64.60040455,10.64015518
wait,-20.43959538,3.276820968
opt,-19.87700705,1.640367403
watch,-16.45324867,2.684528051
find,-17.87239445,0.885097382
get,-18.38684754,1.519854844
keep,-18.89156551,3.114662964
stay,-16.27391982,10.56636544
remain,-15.53308558,10.9055362
live,-18.22255488,10.19234946
seek,-16.36758961,0.917285191
die,-19.53658759,11.02035939
fix,-14.08288527,3.610071319
serve,-14.56985544,11.28823
take,-17.36283652,1.170524405
add,-19.55326741,3.532395812
hold,-20.437985,-0.853953572
offer,-17.0312847,4.974827351
weigh,-16.74403949,-1.197258334
draw,-21.5582147,-0.388744867
fetch,-13.78849779,0.679292225
lend,-16.42831577,2.274812587
stare,-26.79076465,4.280914287
summon,-23.7023903,-0.910872745
bear,-11.32962451,-4.885746471
face,-11.09040132,-5.537647841
send,-17.64078183,-1.774469188
linger,-26.57811299,10.91750989
dine,-22.3432613,11.13926024
languish,-27.28469156,13.26500631
flirt,-21.60715013,11.61090625
loom,-28.47023197,11.12762785
brave,25.48257033,-24.67751689
bare,16.45831909,-30.88513869
sour,13.37252931,-29.34143212
fake,13.4101117,-30.53829861
deliberate,28.46699839,-22.45791716
fine,16.09456336,-24.62183369
stray,27.58942691,-18.09049813
rejoice,-3.823405293,21.46588669
grieve,-3.759612228,20.76052507
pray,-3.571112041,20.20839035
fantasize,-3.37843067,23.28169031
reminisce,-8.598310685,19.05402308
meditate,-8.59520716,19.16587744
salute,5.658114692,12.7826874
greet,5.921557879,13.64529235
converse,-9.997210113,18.37274441
socialize,-9.71214515,18.91349712
thank,7.067757356,15.68907107
congratulate,7.04512471,15.81876343
bless,6.984609446,16.18510247
relax,-10.44151059,19.10007305
sing,13.05248567,17.86456438
recite,13.1759077,17.99054508
regroup,-11.01741063,19.7090945
confide,12.54519453,23.22877534
speak,12.95973008,23.07476988
brag,13.23535574,24.60166716
boast,14.09264546,21.80417979
hear,14.63566597,21.52392485
listen,14.52419592,22.7907712
talk,14.53405143,23.20300925
recuperate,-11.71973531,20.45179906
quarrel,10.3669891,23.88700067
breathe,-11.90352572,7.110144326
sleep,-11.61762946,6.719014458
enjoy,-9.39375575,15.86972394
applaud,15.7031551,19.98661523
dwell,9.447609533,24.25941718
obsess,9.357413513,24.2944172
awake,-10.64613987,5.577882132
please,5.316391824,15.42044746
eat,-19.26644689,9.000887431
drink,-19.28525506,8.96915786
rave,-6.913681528,23.35919572
autograph,-6.911595228,23.35888883
masquerade,-18.34183649,27.03713116
degenerate,-19.15011985,27.18862461
beware,-19.42372393,27.24013039
storm,-22.29904535,-69.4930177
flow,-22.25951751,-68.47008743
hail,-19.85875275,-71.13568063
overflow,-22.90798121,-69.89613279
blaze,-17.84465487,-71.47981603
demand,-14.44076195,-58.61932068
supply,-15.15582459,-58.3108215
stockpile,-16.9485833,-56.28031586
