verb,cluster,x,y,z,cluster_center_x,cluster_center_y,cluster_center_z,distance_from_center
cart,2,-23.63565304,-77.11608742,23.90986721,-32.13167612,-67.37669998,22.80045231,12.97184941
bicycle,2,-23.44091077,-77.19441301,23.71511554,-32.13167612,-67.37669998,22.80045231,13.14357259
hoist,2,-42.65185374,-59.60874615,21.35838976,-32.13167612,-67.37669998,22.80045231,13.15654925
wheel,2,-18.99088453,-69.66051277,21.77123443,-32.13167612,-67.37669998,22.80045231,13.37742479
head,2,-37.73202568,-77.37911728,29.90410588,-32.13167612,-67.37669998,22.80045231,13.48607285
tether,2,-42.64077509,-59.10483891,20.59286512,-32.13167612,-67.37669998,22.80045231,13.55500969
hand,2,-37.12963877,-78.90914471,29.52622788,-32.13167612,-67.37669998,22.80045231,14.25527864
pocket,2,-36.60999249,-79.32798462,29.38160831,-32.13167612,-67.37669998,22.80045231,14.35967048
pen,2,-35.31014206,-79.93603249,29.04173127,-32.13167612,-67.37669998,22.80045231,14.38030048
paddle,2,-22.4022962,-57.00888872,27.35198155,-32.13167612,-67.37669998,22.80045231,14.92878972
dart,2,-23.59516176,-56.72314641,28.93209548,-32.13167612,-67.37669998,22.80045231,14.96553805
arm,2,-39.5019379,-78.6776605,29.86717856,-32.13167612,-67.37669998,22.80045231,15.23059708
attach,2,-43.34612599,-57.27886363,18.2194717,-32.13167612,-67.37669998,22.80045231,15.77071869
shoulder,2,-40.62493297,-78.94753229,29.92208,-32.13167612,-67.37669998,22.80045231,16.02301948
dive,2,-21.76673518,-54.87702528,24.76467591,-32.13167612,-67.37669998,22.80045231,16.35640678
insert,2,-43.63425223,-56.83191526,17.65812015,-32.13167612,-67.37669998,22.80045231,16.43001284
brace,2,-41.16750304,-79.56602386,29.25601296,-32.13167612,-67.37669998,22.80045231,16.48939198
hitch,2,-21.02437728,-55.67235212,26.53831621,-32.13167612,-67.37669998,22.80045231,16.56307559
hop,2,-20.91611376,-55.52595119,25.6722177,-32.13167612,-67.37669998,22.80045231,16.56732092
ride,2,-19.91612382,-55.69298096,25.14997969,-32.13167612,-67.37669998,22.80045231,17.06602728
wire,2,-26.68445422,-57.03079384,10.06835723,-32.13167612,-67.37669998,22.80045231,17.28630225
cement,2,-28.7198909,-56.46786894,8.710339559,-32.13167612,-67.37669998,22.80045231,18.14315713
iron,2,-28.52460757,-56.45485759,8.372194806,-32.13167612,-67.37669998,22.80045231,18.45188877
blanket,2,-23.24256513,-75.8136221,8.968085502,-32.13167612,-67.37669998,22.80045231,18.48059308
hamstring,2,-44.01533656,-78.81705786,31.41552216,-32.13167612,-67.37669998,22.80045231,18.60974482
flesh,2,-45.56248864,-60.34507079,34.38773628,-32.13167612,-67.37669998,22.80045231,19.08129146
bark,2,-45.51690211,-60.26034317,34.42151731,-32.13167612,-67.37669998,22.80045231,19.10120312
pipe,2,-28.92096758,-57.89615013,6.232953403,-32.13167612,-67.37669998,22.80045231,19.3564329
lap,2,-19.91304556,-76.8577278,10.8171303,-32.13167612,-67.37669998,22.80045231,19.56488762
stalk,2,-44.67611269,-58.25172137,35.11745009,-32.13167612,-67.37669998,22.80045231,19.80748742
seat,2,-19.29182364,-75.17019746,9.887025839,-32.13167612,-67.37669998,22.80045231,19.80800338
shell,2,-28.37497421,-55.92641961,6.891498754,-32.13167612,-67.37669998,22.80045231,19.95786895
chair,2,-19.25688105,-76.30733419,9.724643473,-32.13167612,-67.37669998,22.80045231,20.40816876
blister,2,-47.08324531,-77.13392159,32.8428692,-32.13167612,-67.37669998,22.80045231,20.48421177
vent,2,-45.79204977,-54.10313799,14.03492455,-32.13167612,-67.37669998,22.80045231,20.96730152
mirror,2,-17.17590482,-76.34754152,11.04225574,-32.13167612,-67.37669998,22.80045231,21.0334562
bed,2,-19.239402,-76.71165946,9.012681533,-32.13167612,-67.37669998,22.80045231,21.05836707
scar,2,-48.6038721,-75.82421608,33.46864391,-32.13167612,-67.37669998,22.80045231,21.36595611
bubble,2,-27.97197988,-54.32706796,5.532570281,-32.13167612,-67.37669998,22.80045231,22.04032029
rust,2,-50.1371134,-74.18301399,34.11567631,-32.13167612,-67.37669998,22.80045231,22.32836708
shower,2,-19.85844068,-74.46128331,4.948823842,-32.13167612,-67.37669998,22.80045231,22.79263627
nest,2,-18.98413805,-78.29725576,7.656475384,-32.13167612,-67.37669998,22.80045231,22.83541839
rot,2,-51.40469463,-73.31511091,34.26517582,-32.13167612,-67.37669998,22.80045231,23.19814328
decay,2,-51.85009332,-73.02563905,34.32692663,-32.13167612,-67.37669998,22.80045231,23.52841048
stripe,3,-24.90300994,-67.50757201,48.1008417,-27.04796907,-62.32288243,43.56723188,7.213561794
shroud,3,-30.47151725,-68.55686865,42.04840024,-27.04796907,-62.32288243,43.56723188,7.272559102
veil,3,-30.46699736,-68.55398099,42.0022303,-27.04796907,-62.32288243,43.56723188,7.277745096
