hall,1.038846025,6.909741957,21.42506876,0
lawyer,0.276856924,18.54337974,21.62455013,0
california,-4.993275545,-5.175238263,24.36737552,0
senator,0.019816373,6.783558319,21.62270547,0
nations,30.13226068,11.32321572,3.024018841,0
someone,0.285449322,30.2134633,-4.054673131,0
everyone,0.308165173,30.23395499,-4.033864297,0
effort,-19.52914261,26.86364393,3.991156467,0
officer,1.120534848,14.45557931,22.8011342,0
china,-13.27331346,-16.61479842,23.4162899,0
jobs,32.34961086,15.00404098,0.426994605,0
officers,32.21591239,15.33400164,0.6815394,0
governor,-0.425793383,7.045050798,21.73109114,0
felt,-18.38523781,0.040136183,-19.37596886,0
technology,5.678730207,22.76833786,17.10936726,0
means,-14.72465267,17.68941065,-27.31592717,0
named,-18.00056267,-1.250513642,-18.53643736,0
production,4.744360077,20.11521555,18.26935564,0
professor,1.512992341,14.26004424,22.86207738,0
johnson,-18.89542865,-16.08444503,12.49870207,0
organization,1.003806076,16.03612769,22.73025207,0
miles,34.04691237,13.82852526,0.701994093,0
management,6.678105944,20.84229817,17.68511371,0
army,4.470166411,14.68730689,21.97996399,0
shows,24.91813865,11.56275674,-8.815153972,0
runs,24.84615428,11.41104548,-9.017431961,0
changes,25.25442669,13.39522304,-6.74858595,0
books,31.63970869,13.4258144,0.900863702,0
richard,-19.12238435,-15.70934565,13.94473795,0
israel,-13.48057669,-16.60932271,23.30242649,0
running,11.73750484,31.39777213,-10.29436905,0
investment,5.620575613,19.66598101,18.14177545,0
employees,32.29497625,13.72916748,0.984536589,0
chicago,-5.302135023,-4.916651438,24.87364735,0
europe,-13.50855962,-16.48595564,23.2938371,0
hotel,5.780100452,18.45471911,19.61586627,0
growth,4.843536977,20.50257719,18.22329438,0
election,2.529595821,16.95457644,20.73148678,0
paid,-16.78581183,-1.32726212,-18.64392511,0
thomas,-17.40314615,-14.87650405,11.75581487,0
built,-16.78926615,-1.222273339,-18.23502395,0
boston,-5.328051045,-4.901337603,24.79874903,0
japan,-13.31467358,-16.72665327,23.3946005,0
anyone,0.29800162,30.2210988,-4.040314564,0
families,32.35982148,15.13652176,0.210250485,0
capital,5.348990809,19.70683558,18.71402346,0
lawyers,31.64296456,14.10580074,0.855510046,0
attention,-0.681613641,24.15222718,18.47708415,0
william,-18.58737529,-16.00721112,13.79469909,0
allowed,-18.55891775,-1.819930577,-19.61418533,0
insurance,6.65332699,20.35548974,17.83561281,0
smith,-18.85013736,-16.26204822,13.01870983,0
coming,11.91539338,32.16041126,-11.02442784,0
paul,-18.6460982,-16.17016389,13.67443861,0
restaurant,3.288530106,17.94395656,20.75324532,0
forces,25.79619572,12.97903334,-6.176242087,0
division,2.840083534,16.31413386,21.72134141,0
authority,-19.28210018,27.09130688,4.178281149,0
rules,24.24295943,16.28892385,-4.762949667,0
statement,-12.93728829,24.70736998,14.79293149,0
tonight,0.297630724,30.01613594,-3.237255607,0
secretary,0.720713618,13.82097869,23.36526541,0
angeles,-6.117766489,-3.519025604,24.71266731,0
king,1.133996829,6.817128365,21.38712856,0
gone,-18.97180146,-2.519204477,-16.20464795,0
areas,31.2980398,15.74534368,0.350256104,0
investigation,-1.083290403,19.64082382,21.29597814,0
addition,-6.47817565,19.66498689,21.49946908,0
kept,-16.6531757,-1.295778791,-18.61200139,0
village,1.083704374,4.590457476,10.08008303,0
born,-18.68167428,-2.149672145,-16.60422458,0
cars,31.76380634,13.70100739,1.260674611,0
success,-0.678273001,24.09139637,18.28422865,0
peace,7.133964884,20.64111926,16.88087637,0
apartment,2.376540068,20.74319693,19.44989656,0
buildings,31.52147031,15.57132052,0.513561551,0
tomorrow,0.309426252,29.9798138,-3.226383849,0
evening,-1.077418794,17.29229205,23.64412513,0
london,-4.845224518,-5.51224509,24.22468898,0
giants,27.86647337,4.411422487,6.265636828,0
situation,-3.356524653,21.13985627,20.65409749,0
living,11.29438637,31.13371708,-10.82610877,0
moment,-3.871502445,18.53707408,22.13425539,0
beginning,9.438733042,33.23330121,-12.33106365,0
mets,27.66219403,4.72549052,6.270045194,0
released,-17.81017897,-0.787226363,-18.09065771,0
plays,24.80793825,11.47610498,-8.976295256,0
century,-17.03562643,14.70369593,19.85824948,0
reports,24.68582156,13.87330633,-7.606662748,0
arts,22.39230327,9.358673254,1.920194624,0
audience,-0.921454515,21.6177347,20.13078448,0
proposal,-19.79339965,26.39964163,4.77020551,0
lines,30.78314035,13.52834166,2.322025625,0
williams,-17.1557358,-14.79703025,11.47046571,0
operations,30.85855154,14.00916497,2.500954685,0
media,29.9833233,14.57113145,2.973425597,0
returned,-18.47438328,-1.797089064,-18.91414483,0
river,4.856940924,13.52856125,22.05184455,0
data,30.28134044,14.31024604,2.805992874,0
second,-24.8596973,-1.928417315,-7.647040454,0
stores,30.30847117,12.02487265,-0.059549555,0
brother,-1.744414256,26.22413994,17.20336266,0
january,-9.913253649,-7.401484603,27.32140563,0
florida,-5.125314984,-5.698197921,24.80609827,0
events,31.55333313,15.38756231,0.556544354,0
homes,31.80575976,13.59204871,1.378811144,0
choice,-19.33482833,26.43647362,5.097640087,0
